DEBUG 2025-07-27 17:41:17,441 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1753647577.0496068
DEBUG 2025-07-27 17:41:17,451 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\query.py first seen with mtime 1753647569.4138923
DEBUG 2025-07-27 17:41:17,459 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\headerregistry.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,459 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\ast.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,467 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,467 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\template\__init__.py first seen with mtime 1753647574.8440902
DEBUG 2025-07-27 17:41:17,467 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\files\move.py first seen with mtime 1753647563.4840434
DEBUG 2025-07-27 17:41:17,467 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\ctypes\_endian.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,472 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,472 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\reprlib.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,472 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1753647372.8237095
DEBUG 2025-07-27 17:41:17,472 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\_os.py first seen with mtime 1753647576.9795797
DEBUG 2025-07-27 17:41:17,472 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\heapq.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,472 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1753647432.8778374
DEBUG 2025-07-27 17:41:17,482 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1753647576.96297
DEBUG 2025-07-27 17:41:17,482 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\encoders.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,482 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\windows_utils.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,482 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1753647456.7356389
